ESD,County,District,DistrictCode,School,SchoolCode,schoolYear,testAdministration,Subject,GradeLevel,StudentGroup,suppressed,suppressReason,countTotalTested_and_NotTested,countMetStandardIncludingPP,PercentMetStandardIncludingPP,countMetStandardWithoutPP,PercentMetStandardWithoutPP,percentMeetingStandardExcludingNoScore,countLevel4,PercentLevel4,countLevel3,PercentLevel3,countLevelBasic,PercentLevelBasic,countLevel2,PercentLevel2,countLevel1,PercentLevel1,countNoScore,percentNoScore,countNotMet,PercentNotMet,countExcusedAbsence,countExempted
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,All,n,,91,68,74.7,68,74.7,76.4,44,48.3,24,26.3,0,0,8,8.7,13,14.2,2,2.1,23,25.2,,4
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Male,n,,48,35,72.9,35,72.9,74.4,20,41.6,15,31.2,0,0,2,4.1,10,20.8,1,2,13,27,,1
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Female,n,,43,33,76.7,33,76.7,78.5,24,55.8,9,20.9,0,0,6,13.9,3,6.9,1,2.3,10,23.2,,3
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Black / African American,y,N< 10 Suppression,4,,,,,,,,,,,,,,,,,,,,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Hispanic / Latino of any race(s),n,,14,6,42.8,6,42.8,42.8,5,35.7,1,7.1,0,0,2,14.2,6,42.8,0,0,8,57.1,,2
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,White,n,,62,55,88.7,55,88.7,91.6,35,56.4,20,32.2,0,0,0,0,5,8,2,3.2,7,11.2,,2
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Migrant,y,N< 10 Suppression,1,,,,,,,,,,,,,,,,,,,,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Special Education,n,,13,5,38.4,5,38.4,45.4,1,7.6,4,30.7,0,0,2,15.3,4,30.7,2,15.3,8,61.5,,1
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Limited English,y,N< 10 Suppression,7,,,,,,,,,,,,,,,,,,,,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Low Income,n,,13,4,30.7,4,30.7,30.7,2,15.3,2,15.3,0,0,4,30.7,5,38.4,0,0,9,69.2,,2
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Non Special Education,n,,78,63,80.7,63,80.7,80.7,43,55.1,20,25.6,0,0,6,7.6,9,11.5,0,0,15,19.2,,3
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Non Low Income,n,,78,64,82,64,82,84.2,42,53.8,22,28.2,0,0,4,5.1,8,10.2,2,2.5,14,17.9,,2
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Continuously Enrolled,n,,87,65,74.7,65,74.7,76.4,42,48.2,23,26.4,0,0,8,9.1,12,13.7,2,2.2,22,25.2,,2
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Asian,y,N< 10 Suppression,2,,,,,,,,,,,,,,,,,,,,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Section 504,y,N< 10 Suppression,2,,,,,,,,,,,,,,,,,,,,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,3rd,Two or More Races,y,N< 10 Suppression,9,,,,,,,,,,,,,,,,,,,,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,All,n,,91,68,74.7,68,74.7,77.2,53,58.2,14,15.3,1,1,10,10.9,10,10.9,3,3.2,23,25.2,,1
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,Male,n,,55,38,69,38,69,73,27,49,11,20,0,0,7,12.7,7,12.7,3,5.4,17,30.9,,1
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,Female,n,,36,30,83.3,30,83.3,83.3,26,72.2,3,8.3,1,2.7,3,8.3,3,8.3,0,0,6,16.6,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,Black / African American,y,N< 10 Suppression,4,,,,,,,,,,,,,,,,,,,,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,Hispanic / Latino of any race(s),y,N< 10 Suppression,5,,,,,,,,,,,,,,,,,,,,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,White,n,,69,54,78.2,54,78.2,80.5,44,63.7,10,14.4,0,0,8,11.5,5,7.2,2,2.8,15,21.7,,1
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,Special Education,n,,22,9,40.9,9,40.9,47.3,4,18.1,4,18.1,1,4.5,2,9,8,36.3,3,13.6,13,59,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,Limited English,y,N< 10 Suppression,7,,,,,,,,,,,,,,,,,,,,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,Low Income,n,,12,5,41.6,5,41.6,45.4,3,25,1,8.3,1,8.3,2,16.6,4,33.3,1,8.3,7,58.3,,1
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,Non Special Education,n,,69,59,85.5,59,85.5,85.5,49,71,10,14.4,0,0,8,11.5,2,2.8,0,0,10,14.4,,1
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,Non Low Income,n,,79,63,79.7,63,79.7,81.8,50,63.2,13,16.4,0,0,8,10.1,6,7.5,2,2.5,16,20.2,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,Continuously Enrolled,n,,89,66,74.1,66,74.1,76.7,52,58.4,13,14.6,1,1.1,10,11.2,10,11.2,3,3.3,23,25.8,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,Asian,y,N< 10 Suppression,4,,,,,,,,,,,,,,,,,,,,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,Native Hawaiian / Other Pacific Islander,y,N< 10 Suppression,1,,,,,,,,,,,,,,,,,,,,,
Puget Sound Educational Service District 121,King County,Seattle Public Schools,17001,Adams Elementary School,2138,2016-2017,SBA,ELA,4th,Section 504,y,N< 10 Suppression,5,,,,,,,,,,,,,,,,,,,,,
