School,Type,GeozoneOverlap
Adams Elementary School,Attendance Area,1
Alki Elementary School,Attendance Area,0
Arbor Heights Elementary School,Attendance Area,0
B F Day Elementary School,Attendance Area,0
Bailey Gatzert Elementary School,Attendance Area,0
Beacon Hill International School,Attendance Area,0
Broadview-Thomson K-8 School,Attendance Area,0
Bryant Elementary School,Attendance Area,0
Cascadia Elementary,Attendance Area,0
Catharine Blaine K-8 School,Attendance Area,0
Frantz Coe Elementary School,Attendance Area,1
Concord International School,Attendance Area,0
Daniel Bagley Elementary School,Attendance Area,1
Dearborn Park International School,Attendance Area,0
Dunlap Elementary School,Attendance Area,1
Emerson Elementary School,Attendance Area,1
Exp. Ed. Unit,Other,0
Fairmount Park Elementary School,Attendance Area,1
Gatewood Elementary School,Attendance Area,0
Genesee Hill Elementary,Attendance Area,0
Graham Hill Elementary School,Attendance Area,1
Green Lake Elementary School,Attendance Area,1
Greenwood Elementary School,Attendance Area,0
Hawthorne Elementary School - Seattle,Attendance Area,1
Hazel Wolf K-8,Choice,0
Highland Park Elementary School,Attendance Area,0
Hutch School,Other,0
In Tandem,Other,0
John Hay Elementary School,Attendance Area,1
John Muir Elementary School,Attendance Area,0
John Rogers Elementary School,Attendance Area,1
John Stanford International School,Choice,0
Kimball Elementary School,Attendance Area,0
Lafayette Elementary School,Attendance Area,0
Laurelhurst Elementary School,Attendance Area,0
Lawton Elementary School,Attendance Area,0
Leschi Elementary School,Attendance Area,0
Licton Springs K-8,Choice,0
Lowell Elementary School,Attendance Area,0
Loyal Heights Elementary School,Attendance Area,0
Madrona K-5 School,Attendance Area,0
Maple Elementary School,Attendance Area,0
Martin Luther King Jr. Elementary School,Attendance Area,0
McDonald International School,Choice,0
McGilvra Elementary School,Attendance Area,0
Montlake Elementary School,Attendance Area,0
Non Public Agencies,Other,0
North Beach Elementary School,Attendance Area,0
Northgate Elementary School,Attendance Area,0
Olympic Hills Elementary School,Attendance Area,1
Olympic View Elementary School,Attendance Area,1
Orca K-8 School,Choice,0
Pathfinder K-8 School,Choice,0
Priv/Paroch Sped,Other,0
Queen Anne Elementary,Choice,0
Rainier View Elementary School,Attendance Area,0
Roxhill Elementary School,Attendance Area,1
Sacajawea Elementary School,Attendance Area,1
Salmon Bay K-8 School,Choice,0
Sand Point Elementary,Attendance Area,0
Sanislo Elementary School,Attendance Area,0
South Shore PK-8 School,Choice,0
Louisa Boren STEM K-8,Choice,0
Stevens Elementary School,Attendance Area,0
Thornton Creek Elementary School,Choice,0
Thurgood Marshall Elementary,Attendance Area,0
Tops K-8 School,Choice,0
Van Asselt Elementary School,Attendance Area,0
View Ridge Elementary School,Attendance Area,1
Viewlands Elementary School,Attendance Area,0
Wedgwood Elementary School,Attendance Area,1
West Seattle Elementary School,Attendance Area,1
West Woodland Elementary School,Attendance Area,1
Whittier Elementary School,Attendance Area,1
Wing Luke Elementary School,Attendance Area,1
Cedar Park,Choice,0
