School,Geozone-Accepted,No Geozone-Accepted,Geozone-Waitlist,No geozone-Waitlist,No Geozone Applied,Geozone Applied
Adams Elementary School,,2,,8,10,
Alki Elementary School,,,,7,7,
Arbor Heights Elementary School,,,,13,13,
B F Day Elementary School,,,,1,1,
Bailey Gatzert Elementary School,,,,10,10,
Beacon Hill International School,,,,17,17,
Broadview-Thomson K-8 School,,,,7,7,
Bryant Elementary School,,,,4,4,
Cascade Parent Partnership,,,,0,0,
Cascadia Elementary,,,,0,0,
Catharine Blaine K-8 School,,4,,6,10,
Frantz Coe Elementary School,,,,9,9,
Concord International School,,,,6,6,
Daniel Bagley Elementary School,,,,3,3,
Dearborn Park International School,,5,,29,34,
Dunlap Elementary School,,2,,3,5,
Emerson Elementary School,,2,,0,2,
Exp. Ed. Unit,,,,0,0,
Fairmount Park Elementary School,,,,37,37,
Gatewood Elementary School,,,,7,7,
Genesee Hill Elementary,,,,9,9,
Graham Hill Elementary School,,,,10,10,
Green Lake Elementary School,,,,5,5,
Greenwood Elementary School,,2,,8,10,
Hawthorne Elementary School - Seattle,,2,,2,4,
Hazel Wolf K-8,26,29,10,123,152,36
Highland Park Elementary School,,6,,0,6,
Hutch School,,,,0,0,
In Tandem,,,,0,0,
John Hay Elementary School,,2,,7,9,
John Muir Elementary School,,6,,6,12,
John Rogers Elementary School,,,,3,3,
John Stanford International School,38,15,,66,81,38
Kimball Elementary School,,,,11,11,
Lafayette Elementary School,,,,18,18,
Laurelhurst Elementary School,,,,6,6,
Lawton Elementary School,,,,4,4,
Leschi Elementary School,,2,,19,21,
Licton Springs K-8,,11,,0,11,
Lowell Elementary School,,3,,9,12,
Loyal Heights Elementary School,,,,0,0,
Madrona K-5 School,,,,0,0,
Maple Elementary School,,,,8,8,
Martin Luther King Jr. Elementary School,,2,,2,4,
McDonald International School,40,13,12,39,52,52
McGilvra Elementary School,,1,,11,12,
Montlake Elementary School,,2,,12,14,
Non Public Agencies,,,,0,0,
North Beach Elementary School,,,,9,9,
Northgate Elementary School,,1,,1,2,
Olympic Hills Elementary School,,,,1,1,
Olympic View Elementary School,,1,,2,3,
Orca K-8 School,22,18,,0,18,22
Pathfinder K-8 School,18,18,,51,69,18
Priv/Paroch Sped,,,,0,0,
Queen Anne Elementary,56,7,21,11,18,77
Rainier View Elementary School,,2,,0,2,
Roxhill Elementary School,,,,7,7,
Sacajawea Elementary School,,,,2,2,
Salmon Bay K-8 School,15,23,,30,53,15
Sand Point Elementary,,,,2,2,
Sanislo Elementary School,,1,,2,3,
South Shore PK-8 School,1,3,,10,13,1
Louisa Boren STEM K-8,30,9,,56,65,30
Stevens Elementary School,,,,18,18,
Thornton Creek Elementary School,50,29,,31,60,50
Thurgood Marshall Elementary,,,,23,23,
Tops K-8 School,15,23,,27,50,15
Van Asselt Elementary School,,,,4,4,
View Ridge Elementary School,,4,,20,24,
Viewlands Elementary School,,2,,3,5,
Wedgwood Elementary School,,,,9,9,
West Seattle Elementary School,,5,,1,6,
West Woodland Elementary School,,2,,16,18,
Whittier Elementary School,,3,,6,9,
Wing Luke Elementary School,,,,13,13,
,,,,,1162,354
